symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct,last_volume,avg_volume
COSUSDT,0.000196,5.787,0.00351359,0.003387,0.003583,566727429.3,1991246.5355014,0.00365,0.003297,29140,Spot Only,863.1,82310.3979556,8546.162134575
MDTUSDT,0.00059,2.072,0.02856579,0.02847,0.02906,82341519.4,2352150.191088,0.03,0.02728,25234,Spot Only,697.4,66038.020288,8282.143799625
XRPTUSD,0.1839,6.42,3.00853859,2.8685,3.0482,48088.6,144676.409,3.1029,2.7878,489,Spot Only,549.5,4360.97541,671.38934125
HIVEUSDT,0.0108,5.307,0.21125667,0.2039,0.2143,5840089.0,1233757.7348,0.2188,0.1992,18989,Spot Only,404.6,32845.9852,6509.4618875
SPELLUSDT,2.04e-05,4.195,0.00050348,0.0004863,0.0005067,3198945353.0,1610614.1207075,0.0005177,0.0004705,32011,Spot Only,358.3,53086.2532523,11582.899108125
SCRTUSDT,0.0132,7.458,0.18645612,0.1771,0.1902,5170390.8,964050.98397,0.1957,0.1709,16928,Spot Only,291.1,12765.43397,3263.87040375
XNOUSDT,0.026,2.731,0.97964062,0.951,0.978,664799.05,651264.15445,1.003,0.926,13215,Spot Only,274.7,13431.62334,3584.95024375
OMUSDT,0.0157,6.75,0.24028163,0.2326,0.2483,57521892.7,13821454.17163,0.254,0.2219,98472,Spot Only,223.1,199313.13992,61685.31558375
XVGUSDT,0.000218,3.505,0.00651165,0.00622,0.006438,387601543.0,2523926.268631,0.006811,0.00602,39014,Spot Only,180.8,26613.720995,9477.94393175
TUSDUSDT,0.0001,0.01,0.99850675,0.9981,0.9983,608791.0,607881.9201,0.999,0.9979,6645,Spot Only,162.8,1934.9542,736.4033875
OGUSDT,-0.081,-0.625,12.97669513,12.953,12.872,370207.2,4804065.9683,13.317,12.666,99388,Spot Only,133.7,38946.2807,16662.68815
USDPUSDT,0.0003,0.03,0.99994925,0.9999,1.0002,605767.0,605736.259,1.0004,0.9994,1309,Spot Only,132.6,1854.4579,797.335725
PYRUSDT,0.066,6.439,1.06043967,1.025,1.091,1730488.877,1835079.058236,1.122,1.006,15932,Spot Only,131.8,19233.85178,8295.969838125
WINUSDT,2.62e-06,4.298,6.263e-05,6.092e-05,6.358e-05,10328683305.0,646930.9801825,6.437e-05,5.966e-05,18993,Spot Only,130.0,6661.58088572,2896.4622963525
ETHTUSD,410.19,9.503,4665.85054688,4320.62,4726.42,116.9575,545706.215337,4889.73,4218.12,2238,Spot Only,123.6,2212.825672,989.638688625
